ID,Data,Dia,Horario,Fuso,Canal,Formato,Pilar,Titulo,Objetivo_CTA,Publico,Funil,CTA,KPI,Arquivo_arte,Status,Dependencia,Responsavel,Janela
PUB-001,22/07/2026,Quarta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Infraestrutura,"Capturar, programar, escalar",Conheça a SE7EN PAY,Mercado,Descoberta,Conheça a SE7EN PAY,Alcance,src/PUB-001/assets/PUB-001_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S01,22/07/2026,Quarta-feira,19:00,America/Sao_Paulo,Story,Story 9:16,Margem Programável,Enquete: você sabe o que é take rate?,Salve o glossário no feed,Audiência,Consideração,Salve o glossário no feed,Saves,src/PUB-S01/assets/PUB-S01_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S06,23/07/2026,Quinta-feira,08:30,America/Sao_Paulo,Story,Story 9:16,Margem Programável,Introdução ao glossário,Toque para ver,Audiência,Consideração,Toque para ver,Saves,src/PUB-S06/assets/PUB-S06_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-004,23/07/2026,Quinta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Margem Programável,Glossário SE7EN parte 1,Salve para consultar,Novos LAs,Consideração,Salve para consultar,Saves,src/PUB-004/assets/PUB-004_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-R03,24/07/2026,Sexta-feira,19:00,America/Sao_Paulo,Reel,Reel 9:16,Infraestrutura,O que é infraestrutura de monetização,Assista,Audiência,Descoberta,Assista,Alcance,src/PUB-R03/assets/PUB-R03_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S11,25/07/2026,Sábado,08:30,America/Sao_Paulo,Story,Story 9:16,Infraestrutura,Reforço: operação em tempo real,Saiba mais,Audiência,Consideração,Saiba mais,Saves,src/PUB-S11/assets/PUB-S11_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-003,25/07/2026,Sábado,12:30,America/Sao_Paulo,Feed,Estático 4:5 + 1:1,Infraestrutura,A SE7EN não vende tecnologia,Fale com a SE7EN PAY,Mercado,Descoberta,Fale com a SE7EN PAY,Alcance,src/PUB-003/assets/PUB-003_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S02,26/07/2026,Domingo,12:30,America/Sao_Paulo,Story,Story 9:16,Margem Programável,Caixa de perguntas sobre margem,Manda sua pergunta,Audiência,Relacionamento,Manda sua pergunta,Interações,src/PUB-S02/assets/PUB-S02_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S03,27/07/2026,Segunda-feira,08:30,America/Sao_Paulo,Story,Story 9:16,O Licenciado,Enquete: TPV ou take rate?,Veja o glossário,Audiência,Consideração,Veja o glossário,Saves,src/PUB-S03/assets/PUB-S03_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-005,29/07/2026,Quarta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Quanto Sobra,Taxa não é custo: é margem operacional,Fale com a SE7EN PAY,EC,Consideração,Fale com a SE7EN PAY,Saves,src/PUB-005/assets/PUB-005_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
